GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
08/16/2017,LINK-021294,40.67316,-73.98939,Brooklyn,C8-2,39,306,411 3rd AVENUE (Physical location is on 6th street),3rd AVENUE,4th AVENUE,SE,11215,,No,N,Park Slope-Gowanus,82191,12/05/2017,02/03/2018,,,3009920007,3011900,"(40.67315942, -73.98938754)"
08/21/2017,LINK-021297,40.70625,-73.95182,Brooklyn,C8-2,33,301,460 BROADWAY,Penn St,Rutledge St,SW,11211,,No,N,South Williamsburg,82220,11/16/2017,01/15/2018,,3060699,3022210023,3052900,"(40.70625079, -73.95181932)"
09/07/2017,LINK-021298,40.69984,-73.92027,Brooklyn,C4-3,37,304,408 KNICKERBOCKER AVENUE,STANHOPE STREET,HIMROD STREET,SW,11237,,No,N,Bushwick North,82301,11/16/2017,01/15/2018,,3074458,3032680043,3043100,"(40.69984414, -73.92027348)"
08/16/2017,LINK-021300,40.70088,-73.94149,Brooklyn,C4-3,34,301,785 FLUSHING AVENUE,BROADWAY,HUMBOLDT STREET,NE,11206,Graham Avenue,Yes,N,East Williamsburg,82193,11/16/2017,01/15/2018,,3326062,3031270001,3049100,"(40.70088, -73.94149)"
09/25/2017,LINK-021308,40.69258,-73.98823,Brooklyn,C5-4,33,302,372 PEARL STREET,PEARL STREET,WILLOUGHBY STREET,NW,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82327,12/14/2017,02/12/2018,,,3001407503,3001100,"(40.69258203124757, -73.98823140449485)"
09/25/2017,LINK-021310,40.69216,-73.98647,Brooklyn,C6-4.5,33,302,62 WILLOUGHBY STREET,LAWRENCE STREET,JAY STREET,SW,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82333,12/14/2017,02/12/2018,,,3001510029,3001100,"(40.69215750292658, -73.98647039045073)"
09/25/2017,LINK-021311,40.69226,-73.98533,Brooklyn,C6-4.5,33,302,372 Bridge Street,WILLOUGHBY STREET,MYRTLE PROMENADE,NW,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82334,12/14/2017,02/12/2018,,,3001480039,3001100,"(40.69225621279756, -73.98533083940566)"
09/25/2017,LINK-021317,40.69306,-73.98328,Brooklyn,C6-4,33,302,360 GOLD STREET,Myrtle Ave,Willoughby St,MIDBLOCK,11201,MetroTech,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82338,12/14/2017,02/12/2018,,,3020600008,3001500,"(40.693058964243974, -73.98327996997529)"
09/25/2017,LINK-021321,40.69352,-73.98272,Brooklyn,C6-4,35,302,150 Myrtle Ave,Flatbush Ave,Fleet Place,SW,11201,Myrtle Avenue Brooklyn,Yes,N,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,82339,12/14/2017,02/12/2018,,,3020600015,3001500,"(40.69352224, -73.98272259)"
08/25/2017,LINK-021323,40.68521,-73.97638,Brooklyn,C6-4,35,302,40 HANSON PLACE,Fort Greene Place,St Felix Street,SW,11217,MetroTech,Yes,N,Fort Greene,82261,12/14/2017,02/12/2018,,,3020017501,3003500,"(40.685209900902194, -73.97638188244571)"
