CB Link ID,Link Site ID,Street Address,Cross Street 1,Cross Street 2,Corner_location,Borough,Zip Code,Community Board,Council District,Site in BID,BID,Zoning,Neighborhood Tabulation Area (NTA),Census Tract (CT),Building Identification Number (BIN),Borough-Block-Lot (BBL),Latitude,Longitude,DoITT NTP Issued (A),DoITT NTP Expiration Date,In Progress/Suspended,Project Status,Location 1
LINK-020776,bk-01-145855,103 SEIGEL STREET,MANHATTAN AVENUE,GRAHAM AVENUE,NW,Brooklyn,11206,301,34,Yes,Graham Avenue,C1-3,East Williamsburg,3049100,3071403,3030880021,40.704496,-73.942989,03/05/2018 12:00:00 AM,09/05/2018 12:00:00 AM,Installed,Link Active!,"(40.704496, -73.942989)"
LINK-021165,bk-01-GF33229,545 BROADWAY,Middleton St,Boerum St,MIDBLOCK,Brooklyn,11206,301,34,No,,C4-4,East Williamsburg,3049100,3071328,3030760040,40.704636,-73.948654,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70463611, -73.94865373)"
LINK-021164,bk-01-GF33228,488 Broadway,RUTLEDGE ST,HEYWARD ST,SE,Brooklyn,11211,301,33,No,,C8-2,South Williamsburg,3052900,3061070,3022280025,40.705810,-73.951018,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.70580957, -73.95101762)"
LINK-022448,bk-01-GF22179,413 BROADWAY,Hooper Street,Hewes Street,NE,Brooklyn,11211,301,34,No,,C2-3,North Williamsburg,3052700,3063624,3024640030,40.707000,-73.953550,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.70700, -73.95355)"
LINK-021241,bk-01-146092,361 BROADWAY,KEAP STREET,HOOPER STREET,NE,Brooklyn,11211,301,34,No,,C1-3,North Williamsburg,3052700,3331238,3024630040,40.707581,-73.955316,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,Installed,Link Installed; Connecting Power and Fiber,"(40.707581, -73.95531649)"
LINK-000598,mn-01-122957,1 LIBERTY STREET,BROADWAY,TRINITY PLACE,SWC,Manhattan,10006,101,1,Yes,Alliance for Downtown NY,C5-5,Battery Park City-Lower Manhattan,1001300,1000000,1000627501,40.709706,-74.011214,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,Temporarily Suspended,Ready for CX,"(40.70970611126727, -74.01121384111451)"
LINK-021157,bk-01-146091,178 BROADWAY,DRIGGS AVENUE,BEDFORD AVENUE,SW,Brooklyn,11211,301,34,No,,C4-3,North Williamsburg,3054900,3335296,3021320021,40.709900,-73.962440,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,Installed,Link Installed; Connecting Power and Fiber,"(40.70990, -73.96244)"
LINK-021158,bk-01-GF33222,84 BROADWAY,WYTHE AVENUE,BERRY STREET,SW,Brooklyn,11249,301,33,No,,C4-3,North Williamsburg,3054900,3335293,3021300017,40.710425,-73.965738,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,Suspended Permanently,CX In Progress,"(40.71042454, -73.96573848)"
LINK-013951,mn-01-123070,160 FULTON STREET,BROADWAY,CHURCH ST,SW,Manhattan,10007,101,1,Yes,Alliance for Downtown NY,C5-5,Battery Park City-Lower Manhattan,1001300,1001227,1000800001,40.710922,-74.009251,03/06/2018 12:00:00 AM,09/06/2018 12:00:00 AM,Suspended Permanently,Ready for CX,"(40.71092181, -74.00925136)"
LINK-021289,bk-01-GF33353,394 KENT AVENUE,BROADWAY,SOUTH 6 STREET,NW,Brooklyn,11249,301,33,No,,M3-1,North Williamsburg,3054900,3063635,3024670001,40.710988,-73.968534,03/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,Installed,Link Installed; Connecting Power and Fiber,"(40.71098811, -73.96853381)"
